Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
9,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
10,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
11,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
12,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
13,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
14,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
15,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
